ala	QB	HB1,HB2,HB3
arg	QB	HB2,HB3
arg	QG	HG2,HG3
arg	QD	HD2,HD3
arg	QH1	HH1,HH12
arg	QH2	HH21,HH22
asn	QB	HB2,HB3
asn	QD2	HD21,HD22
asp	QB	HB2,HB3
cys	QB	HB2,HB3
glu	QB	HB2,HB3
glu	QG	HG2,HG3
gln	QB	HB2,HB3
gln	QG	HG2,HG3
gln	QE2	HE21,HE22
gly	QA	HA2,HA3
his	QB	HB2,HB3
ile	QG2	HG21,HG22,HG23
ile	QG1	HG12,HG13
ile	QD1	HD11,HD12,HD13
leu	QB	HB2,HB3
leu	QD1	HD11,HD12,HD13
leu	QD2	HD21,HD22,HD23
leu	QQD	QD1,QD2
lys	QB	HB2,HB3
lys	QG	HG2,HG3
lys	QD	HD2,HD3
lys	QE	HE2,HE3
lys	QZ	HZ1,HZ2,HZ3
met	QB	HB2,HB3
met	QG	HG2,HG3
met	QE	HE1,HE2,HE3
phe	QB	HB2,HB3
phe	QD	HD1,HD2
phe	QE	HE1,HE2
phe	QR	HZ,QD,QE
pro	QB	HB2,HB3
pro	QG	HG2,HG3
pro	QD	HD2,HD3
ser	QB	HB2,HB3
thr	QG2	HG21,HG22,HG23
trp	QB	HB2,HB3
tyr	QB	HB2,HB3
tyr	QD	HD1,HD2
tyr	QE	HE1,HE2
tyr	QR	QD,QE
val	QG1	HG11,HG12,HG13
val	QG2	HG21,HG22,HG23
val	QQG	QG1,QG2
cyss	QB	HB2,HB3
